31-10-2019 22:21:38 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:24:28 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:25:43 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:27:31 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:29:08 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:30:13 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:42:28 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:44:37 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:45:48 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:48:33 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:50:33 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:51:19 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:53:05 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:53:31 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:55:59 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 22:58:07 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 23:03:32 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 23:05:25 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 23:07:14 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 23:13:55 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 23:16:13 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 23:17:27 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 23:18:44 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 23:18:58 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
31-10-2019 23:20:06 - ERROR - m: 9,5 MB, u: 0 - SMTP connect() failed. https://github.com/PHPMailer/PHPMailer/wiki/Troubleshooting
